Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,FotoB,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
18/05/1975,Delem,local,victoria,3,2,Racing Club,21° fecha del Campeonato Metropolitano 1975,Tomás A. Ducó,Rodríguez,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Roque Avallay y José Scalise.","Barbieri; Marenda, Buzzo, Domínguez y Trueba; Squeo, Cardaccio y Jorge; Gottardi, Scotta y Díaz.",foto,7 GOL Gottardi (RAC)</br>23 GOL Miguel Brindisi (HUR) -penal-</br>25 GOL Domínguez (HUR) -en contra-</br>36 GOL Scotta (RAC)</br>42 GOL René Houseman (HUR)</br>88 EXP Domínguez (RAC),45,90,0,0
21/05/1975,Delem,visitante,victoria,2,1,Estudiantes (La Plata),22° fecha del Campeonato Metropolitano 1975,Hirschi (La Plata),Dellacasa,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman (76 Rubén Ríos), Roque Avallay y José Scalise.","Pezzano; Pagnanini, Brown, Rodríguez y Herrera; Reguera, Agresta del Cerro y García Ameijenda (60 Milano); Galletti, Benito y Juan R Verón.",foto,8 GOL Miguel Brindisi (HUR)</br>25 GOL Omar Larrosa (HUR)</br>49 GOL García Ameijenda (ELP)</br>75 EXP Galletti (ELP)</br>79 Partido suspendido,45,79,0,0
23/05/1975,Delem,local,derrota,1,2,Vélez Sarsfield,23° fecha del Campeonato Metropolitano 1975,Tomás A. Ducó,Gnecco,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; José Scalise (77 Jorge Sanabria), Roque Avallay y René Houseman.","Fenoy; Malaquin, Troncoso, Tagliani y Correa; Puppo, Asad y Astigarraga; Cerqueiro, Santillán y Fornari.",foto,5 GOL Fornari (VSA)</br>8 GOL René Houseman (HUR)</br>75 GOL Astigarraga (VSA),45,90,0,0
04/06/1975,Delem,visitante,victoria,7,1,Chacarita Juniors,24° fecha del Campeonato Metropolitano 1975,Tomás A. Ducó,Comesaña,"Agustín Cejas (46 Miguel Leyes); Nelson Chabay, Jorge Paolino (68 Víctor Longo), Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Roque Avallay y José Scalise.","Schujovitzky; Grimoldi, Giménez, Desimone y Bordón; Chazarreta, Claudio Marangoni y Bianchini; Rodríguez, Delgado y Troilo.",foto,4 GOL Roque Avallay (HUR)</br>15 GOL Miguel Brindisi (HUR) -penal-</br>68 GOL Miguel Brindisi (HUR)</br>75 GOL Miguel Brindisi (HUR)</br>38 GOL René Houseman (HUR)</br>43 GOL René Houseman (HUR)</br>47 GOL José Scalise (HUR)</br>79 GOL Bianchini (CHJ),45,90,0,0
08/06/1975,Delem,local,derrota,0,1,Colón (Santa Fe),25° fecha del Campeonato Metropolitano 1975,Cementerio de Elefantes (Santa Fe),Ducatelli,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Roque Avallay (61 Jorge Sanabria) y José Scalise.","Costantino; Salinas, Villaverde, Mariano y Fernández; Mazo, Zimmermann (78 Borgna) y López; José Saldaño, Álvarez y Brítez.",foto,63 GOL Mazo (COL)</br>74 EXP Jorge Paolino (HUR),45,90,0,0
15/06/1975,Delem,visitante,victoria,3,2,Rosario Central,26° fecha del Campeonato Metropolitano 1975,Arroyito (Rosario),Busca,"Agustín Cejas; Nelson Chabay, Víctor Longo, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman (87 Carlos Leone), Roque Avallay (57 Jorge Sanabria) y José Scalise.","Biasutto; González, Pascuttini, Daniel Killer y Mario Killer; Carlos Aimar, Solari y Zavagno; Bóveda, Roberto Cabral y Carril.",foto,1 GOL Miguel Brindisi (HUR)</br>22 GOL Miguel Brindisi (HUR)</br>51 GOL Carlos Aimar (RCE)</br>55 GOL Zavagno (RCE)</br>67 GOL René Houseman (HUR)</br>89 EXP Carlos Aimar (RCE),45,90,0,0
22/06/1975,Delem,local,empate,1,1,River Plate,27° fecha del Campeonato Metropolitano 1975,Tomás A. Ducó,Pestarino,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman (88 Rubén Ríos), Roque Avallay y José Scalise.","Ubaldo Fillol; Comelles, Roberto Perfumo, Ártico y H López; Juan J López, Raimondo y Alonso; Alejandro Sabella, Morete y Bareiro.",foto,86 GOL René Houseman (HUR)</br>88 GOL Norberto Alonso (RPL),45,90,0,0
29/06/1975,Delem,visitante,victoria,4,0,Banfield,28° fecha del Campeonato Metropolitano 1975,Florencio Sola,Abel Gnecco,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Roque Avallay (46 Jorge Sanabria) y José Scalise.","Ricardo Lavolpe; Pipastrelli, Romero, Moris y Barril; Sotelo, Lo Gatto y Corvo (70 Mateos); Roselli, Novello y Benítez.",foto,28 GOL Benítez (BAN) -penal-</br>67 GOL Miguel Brindisi (HUR)</br>72 GOL José Scalise (HUR),45,90,0,0
06/07/1975,Delem,visitante,derrota,0,4,Unión (Santa Fe),29° fecha del Campeonato Metropolitano 1975,15 de Abril (Santa Fe),Comesaña,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Roque Avallay y José Scalise.","Hugo Gatti; Silguero, Trullet, Jáuregui y Merlo; Suñé, Espósito (83 Bottaniz) y Victorio Cocco; Marchetti, Mastrángelo y Leopoldo Luque.",foto,12 GOL Espósito (UNI) -penal-</br>47 GOL Mastrángelo (UNI)</br>64 GOL Marchetti (UNI)</br>66 GOL Victorio Cocco (UNI),45,90,0,0
11/07/1975,Delem,local,victoria,5,1,All Boys,30° fecha del Campeonato Metropolitano 1975,Tomás A. Ducó,Goicoechea,"Agustín Cejas; Aldo Espinoza, Jorge Paolino (84 Alfio Basile), Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Roque Avallay (46 Jorge Sanabria) y José Scalise.","Spilinga; Scigliano, Insaurralde, Dragonetti y Pérez; Mamberto, Bongiovanni (72 Romero) y Medina; Zezinho (72 Krabler), Acevedo y Durso.",foto,9 GOL Insaurralde (HUR) -en contra-</br>31 GOL Durso (ALL)</br>64 GOL Spilinga (HUR) -en contra-</br>73 GOL Miguel Brindisi (HUR) -penal-</br>79 GOL René Houseman (HUR),45,90,0,0
13/07/1975,Crosta,visitante,derrota,1,2,Cerro Porteño (Paraguay),Amistoso 1975,Defensores del Chaco (Asunción),Sosa Miranda,"Agustín Cejas; Nelson Chabay (Aldo Espinoza), Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Rubén Ríos (Carlos Leone) y Omar Larrosa; Jorge Sanabria, René Houseman y José Scalise.","Queiroz; Rodríguez, Gavilán, Ovelar y Melgarejo; González, Martínez y Villalba (Jarasaguier); Sosa (Berón), Giménez y Arzamendia.",foto,29 GOL Sosa (CPO)</br>58 GOL Miguel Brindisi (HUR) -penal-</br>71 GOL Berón (CPO),45,90,0,0
16/07/1975,Crosta,visitante,victoria,2,1,Independiente,31° fecha del Campeonato Metropolitano 1975,Doble Visera,Maino,"Agustín Cejas; Nelson Chabay, Aldo Espinoza, Alberto Fanesi y Dante Roma (64 Eduardo Sánchez); Miguel Brindisi, Francisco Russo y Omar Larrosa; Miguel Candedo, José Scalise y Jorge Sanabria.","José Pérez; Commisso, Sá, Carrica y Ricardo Pavoni; Saggioratto, Silva y Ruiz Moreno; Balbuena, Daniel Bertoni y Luis Giribet (72 Goyena).",foto,42 GOL Jorge Sanabria (HUR)</br>65 GOL José Scalise (HUR)</br>69 GOL Daniel Bertoni (IND),45,90,0,0
20/07/1975,Crosta,local,victoria,2,0,Gimnasia y Esgrima (La Plata),32° fecha del Campeonato Metropolitano 1975,Tomás A. Ducó,Rodríguez,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa (65 Aldo Espinoza); Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, José Scalise y Jorge Sanabria.","Barisio; Comas (58 Rosl), Gottfrit, Pérez y Giustozzi; Peracca, Echauri y Pedraza; Ponce, Della Savia y Franco (79 Restelli).",foto,50 GOL José Scalise (HUR)</br>79 GOL José Scalise (HUR),45,90,0,0
23/07/1975,Crosta,visitante,victoria,2,1,Ferro C. Oeste,33° fecha del Campeonato Metropolitano 1975,Caballito,Loureiro,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Aldo Espinoza (71 Carlos Leone); Miguel Candedo (76 Dante Roma), Francisco Russo y Omar Larrosa; René Houseman, Jorge Sanabria y José Scalise.","Luraschi; Franco, Iéllamo, Rocchia y De Filippo; Torres (51 C Arregui), Eiras y H Arregui; Lorea, Vidal (77 Parisi) y Sotelo.",foto,43 GOL Vidal (FCO)</br>55 GOL Francisco Russo (HUR)</br>60 GOL Jorge Sanabria (HUR) -penal-,45,90,0,0
27/07/1975,Delem,local,victoria,6,1,Atlanta,34° fecha del Campeonato Metropolitano 1975,Tomás A. Ducó,Veiró,"Agustín Cejas (77 Miguel Leyes); Nelson Chabay, Víctor Longo, Alberto Fanesi y Aldo Espinoza; Omar Larrosa, Francisco Russo (77 Rubén Ríos) y Miguel Candedo; René Houseman, José Scalise y Jorge Sanabria.","Buttice; Azzolini, Abdala, Rossi y Ruiz; Casares, Palmieri y Onnis; Cibeyra, Rizzo (57 González) y Carlos Carrió.",foto,3 GOL Jorge Sanabria (HUR)</br>39 GOL René Houseman (HUR)</br>43 GOL Jorge Sanabria (HUR)</br>45 GOL Miguel Candedo (HUR)</br>57 GOL Jorge Sanabria (HUR)</br>67 GOL Onnis (ATL) -penal-,45,90,0,0
30/07/1975,Delem,visitante,victoria,1,0,Newell's Old Boys (Rosario),35° fecha del Campeonato Metropolitano 1975,La Bombonera,Romero,"Agustín Cejas; Nelson Chabay, Víctor Longo, Alberto Fanesi y Aldo Espinoza; Miguel Candedo (56 Carlos Leone), Francisco Russo y Omar Larrosa (75 Dante Roma); René Houseman, Jorge Sanabria y José Scalise.","Carrasco; Sperandío, Capurro, Troncone y Aguerópolis; Picerni, Ingaramo y Ribeca; Robles, Alfredo Obberti (75 Montes) y Salas.",foto,36 GOL Omar Larrosa (HUR),45,90,0,0
03/08/1975,Delem,local,victoria,1,0,Boca Juniors,36° fecha del Campeonato Metropolitano 1975,Tomás A. Ducó,Dellacasa,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Carlos Leone, Francisco Russo y Omar Larrosa; René Houseman, José Scalise y Jorge Sanabria.","Enrique Vidallé; Pernía, La Fuente, Mouzo y Tarantini; Benítez (73 Franceschini), Marcelo Trobbiani y Álves (57 H Sánchez); Felman, García Cambón y Ferrero.",foto,30 GOL Carlos Leone (HUR),45,90,0,0
16/08/1975,Delem,local,empate,1,1,San Lorenzo de Almagro,38° fecha del Campeonato Metropolitano 1975,Tomás A. Ducó,Coerezza,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, José Scalise y Jorge Sanabria.","Irusta; Carrizo, Jorge Olguín, Maletti y Sergio Villar; Beltrán, Pitarch y Mendoza; Scotta (83 Benítez), Veglio y Oscar Ortiz.",foto,15 GOL Jorge Sanabria (HUR)</br>43 GOL Scotta (SLA) -penal-,45,90,0,0
18/08/1975,Delem,visitante,victoria,3,1,Temperley,37° fecha del Campeonato Metropolitano 1975,Doble Visera,Veiró,"Agustín Cejas (7 Miguel Leyes); Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa (52 Rubén Ríos); René Houseman, Jorge Sanabria y José Scalise.","Guibaudo; Di Bastiano, De Marta, Raschia y Mielle; Bello Meza, Magalhaes y Biondi; Juárez, Merlo y Valencia.",foto,1 GOL Jorge Sanabria</br>31 GOL Jorge Sanabria</br>64 GOL Di Bastiano</br>86 GOL Miguel Brindisi -penal-,45,90,0,0
21/08/1975,Delem,neutral,empate,1,1,Junior (Colombia),1° fecha de la Copa Aniversario de Santa Marta 1975 (Amistoso),Eduardo Santos (Santa Marta),desconocido,Huracán,Rival,foto,GOL Silva Pacheco (JUN)</br>GOL Jorge Paolino (HUR),45,90,0,0
23/08/1975,Delem,neutral,victoria,3,1,Portuguesa RJ (Brasil),2° fecha de la Copa Aniversario de Santa Marta 1975 (amistoso),Eduardo Santos (Santa Marta),Quiroz,Huracán,Rival,foto,29 GOL Carlos Leone (HUR)</br>43 EXP Alberto Fanesi (HUR)</br>43 EXP Filipe (PRJ)</br><b>1° Tiempo: Huracán 1x0 Portuguesa</b></br>60 GOL Jair (PRJ)</br>61 GOL René Houseman (HUR)</br>65 EXP Jair (PRJ)</br>67 GOL René Houseman (HUR),45,90,0,0
24/08/1975,Delem,visitante,victoria,1,0,Unión Magdalena (Colombia),3° fecha de la Copa Aniversario de Santa Marta 1975 (Amistoso),Eduardo Santos (Santa Marta),desconocido,"Miguel Leyes; Nelson Chabay, Jorge Paolino, Alberto Fanesi (Atilio Herrera) y Jorge Carrascosa; Carlos Leone (Eduardo Sánchez), Francisco Russo y Omar Larrosa; René Houseman, José Scalise (Miguel Candedo) y Jorge Sanabria.","Ucha; Cardona, Del Risco, Mendoza y González; Montúfar, Segrera y Gutiérrez; Fallase, Morales y Carra.",foto,67 GOL René Houseman (HUR),45,90,0,0
26/08/1975,Delem,visitante,victoria,2,1,Independiente Santa Fe (Colombia),Gira por América 1975 (Amistoso),El Campín (Bogotá),desconocido,"Miguel Leyes; Nelson Chabay, Alberto Fanesi, Jorge Paolino y Jorge Carrascosa; Miguel Brindisi (Carlos Leone), Francisco Russo y René Houseman; José Scalise (Miguel Candedo), Omar Larrosa y Jorge Sanabria.","Luis López; Alonso Rodríguez, Rafael Pacheco, Leonardo Recúpero (Rangel) y Bernardo Chía; José Tévez, Juan C Sarnari y Alfonso Cañón; Carlos Pandolfi, Hernando Piñeros y Ramiro Viáfara.",foto,15 GOL Cañón (ISF)</br>39 GOL Omar Larrosa (HUR)</br>81 GOL Jorge Sanabria (HUR),45,90,0,0
28/08/1975,Delem,visitante,empate,1,1,Tigres (México),Gira por América 1975 (amistoso),Universitario (Monterrey),-,"Agustín Cejas; Miguel Brindisi; René Houseman.","Meza; Lola, Jiménez.",foto,22 GOL Jiménez (TIG)</br>68 GOL René Houseman (HUR),45,90,0,0
30/08/1975,Delem,visitante,empate,2,2,Leones Negros (México),Gira por América 1975 (amistoso),Jalisco (Guadalajara),Marcel Pérez Guevara (México),"Miguel Leyes; Nelson Chabay, Jorge Paolino, (66 Rubén Ríos), Alberto Fanesi y Jorge Carrascosa, Miguel Brindisi, Carlos Leone y José Scalise; René Houseman (63 Atilio Herrera), Omar Larrosa y Jorge Sanabria (50 Víctor Longo).","Calderón; Ríos, Santoyo, Rivas (75 Olvera) y Rodríguez Jara; Andrade, Mañón y Jair; Euzebio, Martínez (50 Gutiérrez) y López.",foto,30 GOL Jair (LNE)</br>46 GOL Euzebio (LNE)</br>78 GOL Miguel Brindisi (HUR) -penal-</br>84 GOL Carlos Leone (HUR),45,90,0,0
05/09/1975,Delem,neutral,derrota,0,1,Selección de México Olímpica,Copa de América 1975 (amistoso),East College (Los Ángeles),Jesús Mercado,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Roque Avallay y Omar Larrosa; René Houseman, José Scalise y Jorge Sanabria.","Gómez; Márquez, García, Viveros y Carrillo; De la Rosa, Caballero y Cosío; Tapía, Rangel y Sánchez.",foto,27 GOL Rergis (MEX),45,90,0,0
07/09/1975,Delem,visitante,victoria,2,1,Selección de Estados Unidos,Copa de América 1975 (amistoso),Kezar (Los Ángeles),desconocido,Huracán,rival,foto,17 GOL René Houseman (HUR)</br>77 GOL Miguel Candedo (HUR)</br>83 GOL Moore (EUA),45,90,0,0
12/09/1975,Delem,visitante,victoria,4,2,LDU Quito (Ecuador),Amistoso 1975,Quito (Ecuador),desconocido,Huracán,Rival,foto,sin datos,45,90,0,0
14/09/1975,Delem,visitante,empate,0,0,Emelec (Ecuador),Gira por América 1975 (amistoso),Modelo (Guayaquil),desconocido,"Miguel Leyes; Eduardo Sánchez, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo (Carlos Leone) y Osvaldo Ardiles (Rubén Ríos); René Houseman, José Scalise y Jorge Sanabria (Nelson Chabay).","García; Barbosa, Figueroa, Guerrero y Ortiz; Falero, De María y Barreiro (Quintana); Franco (Gómez), Armendáriz y Guime.",foto,1° Tiempo: Emelec 0x0 Huracán,45,90,0,0
21/09/1975,Delem,visitante,derrota,0,1,San Lorenzo de Almagro,1° fecha del Campeonato Nacional 1975,Tomás A. Ducó,Coerezza,"Miguel Leyes; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo (80 Carlos Leone) y Omar Larrosa; René Houseman, José Scalise (61 Osvaldo Ardiles) y Jorge Sanabria.","Irusta; Carrizo, Olguín, Maletti y Sergio Villar; Veglio, Gauna y Beltrán (82 Pitarch); Rizzi, Premici (61 Mendoza) y Oscar Ortiz.",foto,8 GOL Premici (SLA)</br>73 EXP Jorge Sanabria (HUR),45,90,0,0
24/09/1975,Delem,visitante,derrota,0,4,San Martín (Tucumán),2° fecha del Campeonato Nacional 1975,La Ciudadela (Tucumán),Dellacasa,"Miguel Leyes; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Eduardo Sánchez; Miguel Brindisi (55 Rubén Ríos), Carlos Leone y Omar Larrosa; Miuel Candedo, Osvaldo Ardiles y José Scalise.","Jorge Traverso; José Herrera, Víctor D'Mari, Carlos Guaita y Antonio Sanseverino; Jorge Calderón (75 José Sanabria), José Peralta y Daniel Marangoni; José Sánchez (70 Carlos Pacheco), Miguel Pappalardo y Miguel Toledo.",foto,20 GOL Miguel Pappalardo (SMT)</br>42 GOL Jorge Calderón (SMT)</br>45 GOL Jorge Calderón (SMT)</br>68 GOL Daniel Marangoni (SMT),45,90,0,0
28/09/1975,Delem,local,victoria,3,2,Vélez Sarsfield,3° fecha del Campeonato Nacional 1975,Tomás A. Ducó,Veiró,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Osvaldo Ardiles (66 Carlos Leone) y Jorge Sanabria.","Peratta; Malaquin, García, Ojea (66 Iervasi) y Avanzi; Valenzuela (46 Pedro Larraquy), Puppo y Quinteros; Roselli, Mario Finarolli y Durso.",foto,27 EXP Jorge Paolino (HUR)</br>27 EXP Puppo (VSA)</br>48 GOL Jorge Sanabria (HUR)</br>80 GOL Miguel Brindisi (HUR)</br>84 EXP René Houseman (HUR)</br>86 GOL Durso (VSA)</br>88 GOL Miguel Brindisi (HUR) -penal-</br>89 GOL Pedro Larraquy (VSA),45,90,0,0
01/10/1975,Delem,visitante,victoria,1,0,Cipolletti (Confluencia),4° fecha del Campeonato Nacional 1975,Cipolletti (Confluencia),Abel Gnecco,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Eduardo Sánchez; Miguel Brindisi, Francisco Russo y Omar Larrosa; José Scalise, Osvaldo Ardiles y Jorge Sanabria.","Luna; Della Ceca, Yanani, Salvador y Ledesma; Carrizo, Espada y Strak; Juárez, Stagnaro y Flores.",foto,44 GOL Miguel Brindisi (HUR) -penal-,45,90,0,0
05/10/1975,Delem,local,victoria,2,0,Estudiantes (La Plata),5° fecha del Campeonato Nacional 1975,Tomás A. Ducó,Loureiro,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Eduardo Sánchez; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Osvaldo Ardiles y Jorge Sanabria.","Pezzano; Pagnanini, Togneri, Rodríguez y Frassoldatti; Reguera, Pachamé y López; Galletti, Cabezas y Juan R Verón.",foto,52 GOL René Houseman (HUR)</br>71 EXP Pagnanini (ELP)</br>80 GOL Omar Larrosa (HUR)</br>84 EXP Juan R Verón (ELP),45,90,0,0
08/10/1975,Delem,visitante,victoria,3,1,All Boys,6° fecha del Campeonato Nacional 1975,All Boys,Rodríguez,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Omar Larrosa; José Scalise, Osvaldo Ardiles y René Houseman.","Candia; Pintos, Rando, Dragonetti y Pérez; Bongiovanni, Blanco y Mamberto; Medina, Gómez (76 Zilli) y Valdivia.",foto,14 GOL René Houseman (HUR)</br>35 EXP Dragonetti (ALL)</br>50 GOL Valdivia (ALL)</br>80 GOL Miguel Brindisi (HUR)</br>82 GOL René Houseman (HUR),45,90,0,0
12/10/1975,Delem,local,derrota,1,2,River Plate,7° fecha del Campeonato Nacional 1975,Monumental,Pestarino,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Eduardo Sánchez; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Osvaldo Ardiles y Jorge Sanabria.","Ubaldo Fillol; Comelles, Pena, Ártico y H López; Juan J López, Merlo y Alonso; González, Leopoldo Luque y Oscar Mas.",foto,15 GOL Jorge Sanabria (HUR)</br>36 GOL Leopoldo Luque (RPL)</br>44 GOL Leopoldo Luque (RPL),45,90,0,0
19/10/1975,Delem,visitante,victoria,3,1,Gimnasia y Esgrima (Mendoza),8° fecha del Campeonato Nacional 1975,Tomás A. Ducó,Abel Gnecco,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Eduardo Sánchez; Osvaldo Ardiles, Francisco Russo y Omar Larrosa; René Houseman (89 Miguel Candedo), José Scalise y Jorge Sanabria.","Enrique Reggi; Osvaldo Mesa, Ángel Badía, Francisco Vicino y Oscar Haack; Juan C Gutiérrez, Eduardo Velázquez y Martín Rico; OScar Palavecino, Alfredo Letanú y Carlos Salguero.",foto,20 GOL Jorge Sanabria (HUR)</br>38 GOL José Scalise (HUR)</br>39 GOL Palavecino (GEM)</br>42 GOL José Scalise (HUR),45,90,0,0
26/10/1975,Delem,local,empate,2,2,San Lorenzo de Almagro,9° fecha del Campeonato Nacional 1975,Gasómetro,Ducatelli,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Eduardo Sánchez; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Osvaldo Ardiles y Jorge Sanabria (73 José Scalise).","Ricardo Lavolpe; Ruiz, Olguín, Maletti y Sergio Villar; Mendoza, Telch y Beltrán; Scotta, Premici y Oscar Ortiz.",foto,28 GOL Omar Larrosa (HUR)</br>50 GOL Mendoza (SLA)</br>59 GOL Oscar Ortiz (SLA)</br>89 GOL Miguel Brindisi (HUR) -penal-,45,90,0,0
02/11/1975,Delem,local,victoria,5,0,San Martín (Tucumán),10° fecha del Campeonato Nacional 1975,Tomás A. Ducó,Machuca,"Agustín Cejas; Eduardo Sánchez, Jorge Paolino, Alberto Fanesi y Andrés Verón; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman (88 José Scalise), Osvaldo Ardiles y Jorge Sanabria.","Ramos; Herrera, D'Mari, Guaita y Torga; Calderón, Peralta y Pereyra; J Sánchez, Roldán (46 Pacheco) y Pappalardo.",foto,5 GOL René Houseman (HUR)</br>44 GOL Jorge Sanabria (HUR)</br>80 GOL René Houseman (HUR)</br>82 GOL Miguel Brindisi (HUR)</br>83 GOL René Houseman (HUR),45,90,0,0
05/11/1975,Delem,visitante,victoria,6,1,Vélez Sarsfield,11° fecha del Campeonato Nacional 1975,José Amalfitani,Goicoechea,"Agustín Cejas; Eduardo Sánchez, Jorge Paolino, Alberto Fanesi y Andrés Verón; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Osvaldo Ardiles (68 José Scalise) y Jorge Sanabria (75 Rubén Ríos).","Peratta; Malaquin, García, Mier Segovia y Avanzi; Puppo, Pedro Larraquy y Aguayo; Roselli (46 Muruaga), Santillán (46 Quinteros) y Castro.",foto,20 GOL Castro (VSA)</br>31 GOL Miguel Brindisi (HUR)</br>47 GOL Jorge Sanabria (HUR)</br>55 GOL Jorge Sanabria (HUR)</br>63 GOL Jorge Sanabria (HUR)</br>64 GOL Andrés Verón (HUR)</br>83 GOL René Houseman (HUR),45,90,0,0
09/11/1975,Delem,local,victoria,2,1,Cipolletti (Confulencia),12° fecha del Campeonato Nacional 1975,Tomás A. Ducó,Romero,"Agustín Cejas; Eduardo Sánchez, Jorge Paolino, Alberto Fanesi y Andrés Verón; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Osvaldo Ardiles y Jorge Sanabria.","Luna; Machado Gómez, Yanani, Sanz y Ledesma; Carrizo, Espada y Avanzi; García (56 Stagnaro), Rodolfo Juárez y Rubén Flores.",foto,36 GOL Miguel Brindisi (HUR) -penal-</br>45 GOL René Houseman (HUR)</br>51 GOL Juárez (CIP),45,90,0,0
12/11/1975,Delem,visitante,derrota,0,2,Estudiantes (La Plata),13° fecha del Campeonato Nacional 1975,Hirschi (La Plata),Pestarino,"Agustín Cejas; Nelson Chabay, Víctor Longo, Alberto Fanesi y Andrés Verón; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Osvaldo Ardiles y Jorge Sanabria (60 José Scalise).","Pezzano; Pagnanini, Rodríguez, Tagliani y Frassoldatti; Reguera, Pachamé y López (83 Agresta del Cerro); Galletti, Cabezas (75 Milano) y Juan R Verón.",foto,25 GOL Frassoldatti (ELP)</br>81 GOL Juan R Verón (ELP),45,90,0,0
16/11/1975,Delem,local,victoria,2,1,All Boys,14° fecha del Campeonato Nacional 1975,Tomás A. Ducó,Loureiro,"Agustín Cejas; Nelson Chabay, Víctor Longo, Alberto Fanesi y Andrés Verón; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Osvaldo Ardiles y Jorge Sanabria (46 José Scalise).","Spilinga; Pintos, Rando (64 Scigliano), Dragonetti e Insaurralde; Medina, Mamberto y Romero; Zezinho, Gómez (78 Zilli) y Valdivia.",foto,64 GOL Medina (ALL)</br>79 GOL Miguel Brindisi (HUR) -penal-</br>82 GOL Miguel Brindisi (HUR) -penal-,45,90,0,0
23/11/1975,Delem,visitante,derrota,0,1,River Plate,15° fecha del Campeonato Nacional 1975,Tomás A. Ducó,Veiró,"Agustín Cejas; Nelson Chabay, Jorge Paolino, Alberto Fanesi y Andrés Verón; Miguel Brindisi, Francisco Russo y Omar Larrosa; René Houseman, Osvaldo Ardiles y Jorge Sanabria (46 José Scalise).","Ubaldo Fillol; Comelles, Roberto Perfumo, Ártico y Daniel Passarella; López (83 Raimondo), Merlo y Alejandro Sabella; González (83 Reinaldi), Leopoldo Luque y Bareiro.",foto,25 GOL Alejandro Sabella (RPL)</br>81 EXP Alberto Fanesi (HUR),45,90,0,0
