Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T
22/05/2015,Apuzzo,visitante,empate,0,0,Temperley,13° fecha del Campeonato 2015,Alfredo Beranger,Ariel Penel,"Marcos Díaz; Santiago Echeverría, Hugo Nervo, Eduardo Domínguez, Luciano Balbi; Patricio Toranzo (64 Daniel Montenegro), Lucas Villarruel, Federico Vismara y Edson Puch; Agustín Torassa (74 Ezequiel Gallegos) y Ramón Ábila.","Crivelli; Christian Chimino, Aguirre, Boggino y Bojanich; Sambueza, Adrián Arregui, Di Lorenzo y Esparza (67 Brandán); Ledesma (76 Grbec) y Dinenno (76 Vilchez).",45,90
01/06/2015,Apuzzo,local,victoria,3,2,Atl. Rafaela,14° fecha del Campeonato 2015,Tomás A Ducó,Sergio Pezzotta,"Marcos Díaz; Leonardo Zaragoza, Hugo Nervo, Eduardo Domínguez y Luciano Balbi; Ezequiel Gallegos (80 Agustín Gil Clariotti), Federico Vismara, Patricio Toranzo (88 Carlos Arano) y Lucas Villarruel; Agustín Torassa (88 Iván Moreno Fabianesi) y Ramón Ábila.","Conde; Sacks, Niz, Ré (84 Colombo) y Eluchans; Serrano, Bastía, Marino (63 Ignacio Pussetto) y Ferreyra (87 Morales); González y David Depetris.",foto,28 GOL Eduardo Domínguez (HUR) -penal-</br><b>1° Tiempo: Huracán 1x0 Atl. Rafaela</b></br>60 GOL Eduardo Domínguez (HUR)</br>65 GOL González (RAF)</br>69 GOL Ignacio Pussetto (RAF)</br>73 EXP Federico Vismara (HUR)</br>86 GOL Ramón Ábila (HUR),45,90
06/06/2015,Apuzzo,visitante,empate,1,1,Colón (Santa Fe),15° fecha del Campeonato 2015,Brigadier General López (Santa Fe),Pedro Argañaraz,"Marcos Díaz; Hugo Nervo, Santiago Echeverría, Eduardo Domínguez y Luciano Balbi (67 Carlos Arano); Patricio Toranzo, Federico Vismara, Daniel Montenegro y David Distéfano (71 Ezequiel Gallegos); Agustín Torassa (77 Agustín Gil Clariotti) y Ramón Ábila.","Broun; Pablo Cuevas, Conti (84 Landa), Lazzaroni y Bíttolo; Ledesma, Ballini, Llama (48 Gómez) y Poblete; B. Romero (73 Lucas Villarruel) y Alario.",foto,37 GOL Llama (COL)</br>61 GOL David Distéfano (HUR)</br>87 EXP Broun (COL)</br>88 EXP Eduardo Domínguez (HUR),45,90
01/07/2015,Apuzzo,neutral,derrota,0,1,Ind. Rivadavia (Mendoza),32vo de Copa Argentina 2015,Alta Córdoba (Córdoba),Héctor Paletta,"Marcos Díaz; Santiago Echeverría, Hugo Nervo, Eduardo Domínguez y Carlos Arano; Lucas Villarruel (77 Agustín Gil Clariotti), Federico Vismara, Daniel Montenegro y Patricio Toranzo (70 Agustín Torassa); Cristian Espinoza y Ramón Ábila.","Servio; Podestá, Agüero, Javier Silva y Parisi; Dolci, Coronel, Villarreal y Rearte (65 Cerutti); Nadaya (68 Méndez Rojas) y Pereyra (77 Imperiale).",foto,<b>1° Tiempo: Huracán 0x0 Ind. Rivadavia</b></br>74 GOL Pereyra (INR),45,90
11/07/2015,Apuzzo,local,empate,0,0,Defensa y Justicia,16° fecha del Campeonato 2015,Tomás A. Ducó,Ariel Penel,"Matías Giordano; José San Román, Hugo Nervo, Santiago Echeverría y Carlos Arano (87 David Distéfano); Lucas Villarruel, Nicolás Bruna, Daniel Montenegro (80 Alejandro Romero Gamarra) y Patricio Toranzo (87 Agustín Gil Clariotti); Cristian Espinoza y Ramón Ábila.","Arias; Martínez, Saveljich, Faccioli y Benítez; Bertocchi (89 Sánchez Sotelo), Leyes, Rivero e Isnaldo (73 Barbieri); Rius y Rodríguez.",45,90
19/07/2015,Apuzzo,visitante,derrota,2,3,San Martín (San Juan),17° fecha del Campeonato 2015,Ing. Hilario Sánchez (San Juan),Fernando Rapallini,"Marcos Díaz; José San Román, Hugo Nervo, Eduardo Domínguez y Carlos Arano; Mauro Bogado (80 Iván Moreno Fabianesi), Federico Vismara, Patricio Toranzo (83 Daniel Montenegro) y David Distéfano (68 Alejandro Romero Gamarra); Cristian Espinoza y Ramón Ábila.","Ardente; Gómez, Mattía, Vera y Pinto; Fissore (46 Vitti), Pelaitay, Navarro (59 Gelabert) y Canuhé (59 González); Figueroa y Pumpido.",foto,2 GOL Ramón Ábila (HUR)</br>13 GOL David Distéfano (HUR)</br>45 GOL Pumpido (SMA)</br>71 GOL Vitti (SMA)</br>87 GOL Figueroa (SMA),45,90
26/07/2015,Apuzzo,local,victoria,1,0,Estudiantes (La Plata),18° fecha del Campeonato 2015,Tomás A. Ducó,Patricio Loustau,"Marcos Díaz; José San Román, Hugo Nervo, Eduardo Domínguez, Carlos Arano; Mauro Bogado (88 Agustín Gil Clariotti), Federico Vismara, Patricio Toranzo (73 Agustín Torassa) y David Distéfano (82 Lucas Villarruel); Cristian Espinoza y Ramón Ábila.","Navarro; Jara, Schunke, Desábato y Pereira; Barbona (85 Acosta), G. Gil Romero, L. Gil (54 Rodríguez) y Cerutti; Carlos Auzqui (65 Ozuna) y Diego Mendoza.",foto,45 GOL Ramón Ábila (HUR)</br>78 EXP Pereira (ELP),45,90
02/08/2015,Apuzzo,visitante,empate,3,3,Crucero del Norte (Posadas),19° fecha del Campeonato 2015,Guacurarí (Posadas),Mauro Vigliano,"Marcos Díaz (19 Matías Giordano); José San Román, Hugo Nervo, Eduardo Domínguez y Carlos Arano (79 Ezequiel Miralles); Mauro Bogado, Federico Vismara, Patricio Toranzo y David Distéfano (52 Agustín Torassa); Cristian Espinoza y Ramón Ábila.","Ramírez; Pérez, Rosso (77 Barraza), Lechner y Dematei; Dujaut, Olmedo (60 Lamas), Vázquez (87 Romero) y Martínez; Chironi y Ávalos.",foto,11 GOL Ávalos (CDN)</br>23 GOL Ávalos (CDN)</br><b>1° Tiempo: Crucero del Norte 2x0 Huracán</b></br>70 GOL Carlos Arano (CDN) -en contra-</br>76 GOL Cristian Espinoza (HUR)</br>85 GOL Agustín Torassa (HUR)</br>90+1 GOL Cristian Espinoza (HUR),45,90+1
15/08/2015,Apuzzo,visitante,derrota,0,3,Nueva Chicago,20° fecha del Campeonato 2015,Mataderos,Luis Álvarez,"Matías Giordano; José San Román, Hugo Nervo, Eduardo Domínguez y Luciano Balbi (65 Alejandro Romero Gamarra); Patricio Toranzo (65 Ezequiel Miralles), Mauro Bogado, Federico Vismara y Agustín Torassa; Cristian Espinoza y Ramón Ábila.","Sánchez; Galarza, Masuero, Sainz y Arias; Gagliardi (86 Lentini), Damián Lemos, Vera y De la Fuente; Baldunciel (70 Mariano Puch) y Carrasco (65 Ruiz).","4 GOL Carrasco, 56 GOL Baldunciel, 78 GOL Gagliardi.",45,90
23/08/2015,Domínguez,local,empate,0,0,Lanús,21° fecha del Campeonato 2015,Tomás A. Ducó,Germán Delfino,"Marcos Díaz; José San Román, Hugo Nervo, Federico Mancinelli y Luciano Balbi; Mauro Bogado, Nicolás Bruna (81 Agustín Gil Clariotti), Federico Vismara (66 Patricio Toranzo) y David Distéfano (64 Alejandro Romero Gamarra); Cristian Espinoza y Ramón Ábila.","Matías Ibáñez; Monteseirín, Gómez, Braghieri y Pasquini; Valdez Chamorro, Ayala, Aguirre (68 Martínez) y Benítez (89 Castellani); Acosta y Stracqualursi (58 Leto).","Expulsión: 76 Valdez Chamorro.",45,90
