Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
16/12/1917,Idiarte,local,victoria,3,0,Estudiantes (La Plata),19° fecha del campeonato 1917,La Plata 1700,Luis Bonacini,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Alfredo Larmeu, Feliciano Medina y Jaime Chavin.","Loustanau; Tolosa y Vampa; Gallo, Duarte y Sesé; Boccia, Latorre, Mac Duggan, Izaguirre y Tettamanti.",foto,27 GOL Feliciano Medina (HUR)</br>32 GOL José Soula (HUR)</br>61 GOL Miguel Ginevra (HUR),45,90,0,0
23/12/1917,Idiarte,neutral,empate,0,0,Boca Juniors,Amistoso 1917,GEBA,Germán Guassoni,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Alfredo Larmeu, José Soula y Jaime Chavin.","Fabiani; Capelletti y Becaas; Capellini, Pieralini y Elli; Pedro Calomino, Amores, Colla, Valenzano y Bertolini.",foto,1° Tiempo: Huracán 0x0 Boca Juniors,45,90,0,0
30/12/1917,Idiarte,local,victoria,3,0,River Plate,20° fecha del campeonato 1917,Chiclana 4100,Nicolás Oury,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Alfredo Larmeu, José Soula y Jaime Chavin.","Carlos Isola; Arturo Chiappe y Calneggia; Peruzzi, García y Heriberto Simmons; Medone, Ameal Pereyra, Schumann, Ortelli y Taggino.",foto,19 LES Oury (arbitra Julio Pordelanne)</br>26 GOL Miguel Ginevra (HUR)</br>28 GOL Alfredo Larmeu (HUR)</br>60 LES Taggino (RPL)</br>67 GOL Alfredo Larmeu (HUR),45,90,0,0
20/01/1918,Idiarte,local,victoria,2,0,River Combinado,Medallas de Casa Galli 1918 (amistoso),Chiclana 4100,Juan P. Barbera,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Jaime Chavin; Miguel Ginevra, José Laguna, Humberto Bassadone, Alfredo Larmeu y Pedro Martínez.","Cándido Blanco; Vázquez y Lanata; Taramasso, Alessi y Filippini; Caron, Sixto, Angelli, Rofrano y Chiappe.",foto,18 GOL José Laguna (HUR)</br>22 GOL Humberto Bassadone (HUR),45,90,0,0
10/03/1918,A Alberti,local,derrota,0,2,River Plate,Pretemporada 1918 (amistoso),Chiclana 4100,Juan P. Barbera,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Antonio Santos, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Mazzone, Alfredo Larmeu, José Laguna y Jaime Chavin.","Carlos Isola; Calneggia y Heriberto Simmons; Solari, García y Taramasso; Barbieri, Laiolo, Brown, Rofrano y Ortelli.",foto,46 GOL Rofrano (RPL)</br>51 GOL Brown (RPL),45,90,0,0
17/03/1918,-,visitante,derrota,0,1,Boca Juniors,Pretemporada 1918 (amistoso),Brin y Sengüel,desconocido,"Francisco Pazos; Juan Idiarte y Torres; Antonio Santos, Ramón Vázquez y Jaime Chavin; Miguel Ginevra, José Mazzone, Alfredo Larmeu, José Soula y Eduardo Valla.","Américo Tesoriere; Capelletti y Aquila; López, Pieralini y Elli; Garasini, Bertolini, Martín, Brichetto y Valenzano.",foto,GOL Bertolini (BJU)</br>30 Partido suspendido,30,30,0,0
24/03/1918,-,local,victoria,3,2,Sportivo Barracas,Pretemporada 1918 (amistoso),Chiclana 4100,Juan P. Barbera,"Francisco Pazos; Juan Idiarte y José Mazzone; Antonio Santos, Mario Bassadone y Natalio Carabelli; Miguel Ginevra, José Laguna, Alfredo Larmeu, José Soula y Jaime Chavin.","Moreira; Podestá y Sciarreta; Jordán, Cumo y Ventureira; Solari, González, Barsanti, Rosado e Inchausti.",foto,5 GOL González (SPB)</br>9 GOL Natalio Carabelli (HUR)</br>84 GOL Natalio Carabelli (HUR)</br>36 GOL Alfredo Larmeu (HUR)</br>50 GOL Barsanti (SPB),45,90,0,0
31/03/1918,A Alberti,visitante,derrota,2,4,Racing Club,Pretemporada 1918 (amistoso),Racing,Luis Bonacini,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Alfredo Larmeu, José Soula y Jaime Chavin.","Franch; Castagnola y Etchaleco; J Vivaldo, Ohaco y Bustince; Martín, Ochoa, N Vivaldo, Zabaleta y Perinetti.",foto,4 GOL N Vivaldo (RAC)</br>60 GOL N Vivaldo (RAC)</br>24 GOL Ochoa (RAC)</br>40 GOL José Soula (HUR)</br>78 GOL Castagnola (HUR) -en contra-</br>78 GOL Zabaleta (RAC),45,90,0,0
07/04/1918,A Alberti,visitante,derrota,1,3,Atlanta,1° fecha del Campeonato 1918,Caballito,Juan P. Barbera,"Francisco Pazos; Agustín Alberti y Mardonez; Natalio Carabelli, Mario Bassadone y Vicente Chiarante; Miguel Ginevra, José Laguna, Alfredo Larmeu, José Soula y Jaime Chavin.","Camacho; Lesa y López; Medici, Busso y Célico; Iriarte, Tasín, Martín, Deibe y Césari.",foto,8 GOL Tasín (ATL)</br>40 GOL Tasín (ATL)</br>54 GOL Miguel Ginevra (HUR)</br>63 GOL Martín (ATL),45,90,0,0
14/04/1918,A Alberti,local,victoria,1,0,Independiente,2° fecha del Campeonato 1918,Chiclana 4100,Germán Guassoni,"Francisco Pazos; Neptalí Acosta y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Vicente Gordo; Miguel Ginevra, José Laguna, Humberto Bassadone, Alfredo Larmeu y Jaime Chavin.","Miguens; Ferro y R Sande; Cánepa, E Sande y Ronzoni; Garré, Canaveri, Siciliani, Rey y Galeano.",foto,65 GOL Alfredo Larmeu (HUR),45,90,0,0
21/04/1918,A Alberti,local,derrota,1,3,Atlanta,Amistoso 1918,Chiclana 4100,desconocido,"Cándido Blanco; Neptalí Acosta y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Vicente Gordo; Santos, José Laguna, Alfredo Larmeu, Humberto Bassadone y Jaime Chavin.","Camacho; Lesa y M Deibe; Medici, Busso y Célico; Iriarte, Tasín, Ceveri, J Deibe y Césari.",foto,12 GOL José Laguna (HUR)</br>50 GOL J Deibe (ATL)</br>55 GOL Césari (ATL)</br>75 GOL Iriarte (ATL),45,90,0,0
28/04/1918,A Alberti,local,victoria,3,0,Platense,3° fecha del Campeonato 1918,Chiclana 4100,Enrique Lambretchs,"Francisco Pazos; Neptalí Acosta y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Vicente Gordo; Miguel Ginevra, José Laguna, Pedro Martínez, Humberto Bassadone y Jaime Chavin.","Cositorto; Ansaldo y Berti; D Santángelo, Zaccheo y A Felisari; L Felisari, Balmaceda, A Santángelo, Pérez y Aguilar.",foto,25 GOL Pedro Martínez (HUR)</br>46 GOL José Laguna (HUR)</br>81 GOL Humberto Bassadone (HUR),45,90,0,0
