Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
23/07/1933,Martínez,visitante,derrota,2,3,Boca Juniors,19° fecha del Campeonato 1933,Boca Juniors,Luis Celleri,Huracán,rival,foto,sin datos,45,90,0,0
30/07/1933,Martínez,local,victoria,3,0,Independiente,20° fecha del Campeonato 1933,La Quema,Alberto Rojo Miró,Huracán,rival,foto,sin datos,45,90,0,0
06/08/1933,Martínez,visitante,victoria,4,1,San Lorenzo de Almagro,21° fecha del Campeonato 1933,Gasómetro,Bartolomé Macías,Huracán,rival,foto,sin datos,45,90,0,0
13/08/1933,Martínez,local,victoria,2,0,Lanús,22° fecha del Campeonato 1933,La Quema,Ángel De Dominicis,Huracán,rival,foto,sin datos,45,90,0,0
20/08/1933,Martínez,visitante,empate,0,0,River Plate,23° fecha del Campeonato 1933,River Plate,Ubaldo Ruiz,Huracán,rival,foto,sin datos,45,90,0,0
27/08/1933,Martínez,local,victoria,2,1,Racing Club,24° fecha del Campeonato 1933,La Quema,Adolfo Mendilaharzu,Huracán,rival,foto,sin datos,45,90,0,0
30/08/1933,Martínez,neutral,derrota,2,3,Talleres,3° fase de Copa Competencia 1933,Saavedra,Alberto Rojo Miró,"Ernesto Parini; Genaro Mastrángelo y Pascual Di Paola; Manuel Villar, Mario Artel y Francisco Martínez; Juan Romano, Juan A Rivarola, Alejandro De los Santos, José Cordero y Ricardo Gil.","Juan Quatrocchi; José Agnelli y Juan Villavicencio; Francisco Angeletti, Oscar Rodríguez y Arturo Santos; Luis Donato, Luis Zubizarreta, Luis Rojas, Aníbal Troncoso e Isaías Romano.",foto,8 GOL Pascual Di Paola (HUR) -tiro libre-</br>21 GOL Luis Rojas (TAL) -cañonazo tras centro asistencia de Isaías Romano (TAL)-</br>27 GOL Juan A Rivarola (HUR) -tiró tras rechazo del defensa-</br>1° Tiempo: Huracán 2x1 Talleres</br>55 GOL Luis Zubizarreta (TAL) -cañonazo tras rechazo del arquero-</br>78 GOL Luis Rojas (TAL) -débil junto al poste-,45,90,0,0
03/09/1933,Martínez,visitante,derrota,0,1,Chacarita Juniors,25° fecha del Campeonato 1933,Chacarita Juniors,Adolfo Mendilaharzu,Huracán,rival,foto,sin datos,45,90,0,0
10/09/1933,Martínez,visitante,derrota,2,4,Quilmes,26° fecha del Campeonato 1933,Quilmes,Cirilo Garigliano,Huracán,rival,foto,sin datos,45,90,0,0
01/10/1933,Martínez,local,victoria,4,2,Platense,27° fecha del Campeonato 1933,La Quema,Ricardo Riestra,Huracán,rival,foto,sin datos,45,90,0,0
08/10/1933,Martínez,visitante,derrota,2,3,Estudiantes (La Plata),28° fecha del Campeonato 1933,Uno (La Plata),Enrique Escola,Huracán,rival,foto,sin datos,45,90,0,0
15/10/1933,Martínez,local,empate,1,1,Vélez Sarsfield,29° fecha del Campeonato 1933,La Quema,Eduardo Forte,Huracán,rival,foto,sin datos,45,90,0,0
22/10/1933,Martínez,visitante,derrota,0,1,Tigre,30° fecha del Campeonato 1933,Victoria,Bartolomé Macías,Huracán,rival,foto,sin datos,45,90,0,0
29/10/1933,Martínez,local,victoria,2,0,Argentinos Juniors,31° fecha del Campeonato 1933,La Quema,Natalio Valdatta,Huracán,rival,foto,sin datos,45,90,0,0
01/11/1933,Martínez,local,victoria,4,3,Rosario Central,Copa Estandarte 1933 (amistoso),La Quema,Bartolomé Macías,"Juan A Estrada; Pascual Di Paola y Emilio Moyano; Mario Artel, Máximo Federici y Francisco Martínez; Carlos Belfiore, Juan A Rivarola, Alejandro De los Santos, José Cordero y Juan B Romano.","Fidel Casagrande; Francisco De Cicco y Carlos Scarpin; Ángel Bernaba, Oscar Benegas y Juan R Menéndez; Juan Cagnotti, Julio Gómez, Cayetano Potro, Oscar Díaz y Enrique García.",foto,12 GOL De los Santos (HUR)</b>22 GOL De los Santos (HUR)</b>24 GOL De los Santos (HUR)</b>53 GOL Juan Cagnotti (RCE) -penal-</b>72 GOL Di Paola (RCE) -en contra-</b>74 GOL Juan Cagnotti (RCE)</b>GOL José Cordero (HUR),45,90,0,0
05/11/1933,Martínez,visitante,derrota,1,4,Gimnasia y Esgrima (La Plata),32° fecha del Campeonato 1933,El Bosque (La Plata),Ubaldo Ruiz,Huracán,rival,foto,sin datos,45,90,0,0
12/11/1933,Martínez,local,derrota,2,4,Ferro C. Oeste,33° fecha del Campeonato 1933,La Quema,Bartolomé Macías,Huracán,rival,foto,sin datos,45,90,0,0
18/11/1933,Martínez,visitante,victoria,5,0,Atlanta,34° fecha del Campeonato 1933,Villa Crespo,Ricardo Riestra,Huracán,rival,foto,sin datos,45,90,0,0
03/12/1933,Martínez,visitante,derrota,2,5,Independiente,1° fecha del Béccar Varela 1933,Doble Visera,Ubaldo Ruiz,"Juan A Estrada; Jorge Alberti y Emilio Moyano; Manuel Villar, Máximo Federici y Francisco Martínez; Carlos Belfiore, Juan A Rivarola, Arturo Naveira, José Cordero y Juan Romano.","Atilio Maccarone; Luis Fazio y Fermín Lecea; Juan Ferrou, Juan C Corazzo y Rodolfo De Jonge; Vicente Rojas, José Tabar, Luis Ravaschino, Antonio Sastre y Benito Stinga.",foto,2 GOL Antonio Sastre (IND) -eludió defensores tras asistencia de José Tabar (IND)-</br>18 GOL Antonio Sastre (IND) -cañonazo tras asistencia de Benito Stinga (IND)-,45,90,0,0
