Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
24/03/1929,Laguna,visitante,victoria,1,0,Tigre,26° fecha del Campeonato 1928,Tigre,Galli,"Rafael Negro; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Lemonier; Carmona y Cuello; Simone, Manuel Dañil y Osuna; Heisinger, Santillán, Marinoni, G Haedo y J Haedo.",foto,71 GOL Guillermo Stábile (HUR),45,90,0,0
28/03/1929,Laguna,local,victoria,5,1,Argentino (Rosario),Amistoso 1929,La Quema,Nai Foino,"Rafael Negro; Carlos Nobile y Juan A Vico; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Fredrekssone; Helman y Burset; Alonso, Núñez y Conti; Suárez (29 De Muri), Caligaris, Sotelo, Bazán y Barreiro (46 Peña).",foto,44 GOL Guillermo Stábile (HUR)</br>45 GOL Guillermo Stábile (HUR)</br>70 GOL Guillermo Stábile (HUR)</br>77 GOL Adán Loizo (HUR)</br>88 GOL Juan Spósito (HUR)</br>89 GOL Bazán (ARG),45,90,0,0
31/03/1929,Laguna,local,victoria,1,0,Sportivo Palermo,27° fecha del Campeonato 1928,La Quema,D'Espósito,"Rafael Negro; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Humberto Spacarotella.","Broggi; Bruzzone y Ricci; Juan L Evaristo, Pieri y Busti; Penzi, Batz, Mayo, Terrot y D'Arrigo.",foto,3 GOL Juan Spósito (HUR),45,90,0,0
07/04/1929,Laguna,visitante,victoria,2,0,Argentinos Juniors,28° fecha del Campeonato 1928,River Plate,Riestra,"Rafael Negro; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Fossatti; Di Paola y Giachetti; Méndez, Vaccaro y Lobianco; Ruffo, Vivaldo, Gatti, Meraldi y Mattos.",foto,14 GOL Ángel Chiessa (HUR)</br>45 GOL Guillermo Stábile (HUR),45,90,0,0
14/04/1929,Laguna,local,empate,1,1,Racing Club,Amistoso 1929,La Quema,Sapio,"Rafael Negro; Carlos Nobile y Juan F Pratto; Horacio Souza, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Cesáreo Onzari y Tomás Irrazábal.","Arzeni; Della Torre y Paternoster; Pompei, Stagnaro y De Mare; Perinetti, Perducca, Barañano y Cerrudo.",foto,4 GOL Guillermo Stábile (HUR)</br>21 GOL Horacio Souza (RAC) -en contra-,45,90,0,0
21/04/1929,Laguna,visitante,victoria,2,0,Excursionistas,29° fecha del Campeonato 1928,Excursionistas,Liñeyro,"Rafael Negro; Carlos Nobile y Juan F Pratto; Barto-lucci, Máximo Federici y Horacio Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Grimoldi; Tilhet y Cataneo; Corvetto, Miguel Prestipino y Taccone; Oliva, Laffont, Secchi, Galeano y Belis.",foto,6 GOL Guillermo Stábile (HUR)</br>73 GOL Guillermo Stábile (HUR)</br>83 EXP Galeano (EXC)</br>83 EXP Rafael Negro (HUR),45,90,0,0
28/04/1929,Laguna,local,victoria,3,1,Boca Juniors,30° fecha del Campeonato 1928,La Quema,Hondarrague,"Rafael Negro; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Merello; Bidoglio y Ramón Mutis; Segundo Medici, Manuel Fleitas Solich y Moreyras; Penella, Kuko, Domingo Tarasconi, Bissio y Mario Evaristo.",foto,44 GOL Domingo Tarasconi (BJU)</br>47 GOL Guillermo Stábile (HUR)</br>58 GOL Guillermo Stábile (HUR)</br>89 GOL Guillermo Stábile (HUR),45,90,0,0
05/05/1929,Laguna,local,victoria,2,1,Defensores de Belgrano,31° fecha del Campeonato 1928,La Quema,D'Espósito,"Rafael Negro; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Pratti; Lois y Simonetti; Briola, Gianni y Cardelli; Dimare, Botta, Caldas, Sarthou y Quilindro.",foto,1 GOL Guillermo Stábile (HUR)</br>7 GOL Guillermo Stábile (HUR)</br>80 GOL Botta (DDB),45,90,0,0
12/05/1929,Laguna,visitante,victoria,3,2,Ferro C. Oeste,32° fecha del Campeonato 1928,La Plata 1700,Galli,"Rafael Negro; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Latorre Lelong; Suárez y Badino; Calócero, Chalú y Arico; Fernández, Vigliola, Nappi, Gainzarain y Salvador D'Alessandro.",foto,10 GOL Vigliola (FCO)</br>15 GOL Guillermo Stábile (HUR)</br>30 GOL Guillermo Stábile (HUR)</br>32 GOL Guillermo Stábile (HUR)</br>61 GOL Fernández (FCO),45,90,0,0
19/05/1929,Laguna,local,derrota,1,2,Independiente,33° fecha del Campeonato 1928,La Quema,Bartolomé Macías,"Rafael Negro; Juan A Vico y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Sangiovanni; Debuglio y Chiarella; Pérez, Gros y Martínez; Canaveri, Lalin, Ravaschino, Fernández y Paolinetti.",foto,13 GOL GOL Lalin (IND)</br>52 GOL Ángel Chiessa (HUR)</br>67 LES Sangiovanni (IND) -ataja Chiarella-</br>82 GOL Fernández (IND),45,90,0,0
23/06/1929,Laguna,visitante,derrota,1,3,Racing Club,34° fecha del Campeonato 1928,Racing,Galli,"Rafael Negro; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Horacio Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Arzeni; Della Torre y Paternoster; Pompey, Stagnaro y De Mare; Perinetti, Ochoa, Tabar, Bianco y Cerrudo.",foto,41 GOL Ángel Chiessa (HUR)</br>53 GOL Tabar (RAC)</br>65 GOL Cerrudo (RAC)</br>87 GOL Perinetti (RAC),45,90,0,0
30/06/1929,Laguna,visitante,victoria,4,1,Barracas Central,35° fecha del Campeonato 1928,River Plate,Bartolomé Macías,"Rafael Negro; Hugo Settis y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Horacio Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Sormani; Carri y Nouche; Gobbi, Pérez e Iturrieta; Badolini, Juan F Seijas, Grossi, Lorenzo y Estevarena.",foto,2 GOL Adán Loizo (HUR)</br>22 GOL Estevarena (BCE)</br>28 GOL Cesáreo Onzari (HUR)</br>51 GOL Cesáreo Onzari (HUR)</br>55 EXP Iturrieta (BCE)</br>55 EXP Juan F Pratto (HUR)</br>72 GOL Ángel Chiessa (HUR),45,90,0,0
07/07/1929,Laguna,visitante,victoria,4,3,Audax Córdoba,Amistoso 1929,Alberdi (Córdoba),Oyola,"Malatto Maneiro; Nicolás Insúa y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","J Bianchi; Silva y Pereyra; Escatena, D Bianchi y Moreyra; Alvarez, Ceballos, Sibona, Gradassi y Runzer.",foto,4 GOL Gradassi (ACO)</br>10 GOL Guillermo Stábile (HUR)</br>12 GOL Guillermo Stábile (HUR)</br>15 GOL Cesareo Onzari (HUR)</br>32 GOL Runzer (ACO) -penal-</br>43 GOL Guillermo Stábile (HUR)</br>62 GOL Runzer (ACO),45,90,0,0
09/07/1929,Laguna,visitante,derrota,1,4,Belgrano (Córdoba),Amistoso 1929,Alberdi,desconocido,"Malatto Maneiro; Carlos Nobile y Nicolás Insúa; Pablo Bartolucci, Máximo Federici y Horacio Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y César Concheiro.","Rocco; Schroeder y Arias; Mercado, Romero y Martínez; Sánchez, Infante, Lascano, Romero y Forte.",foto,18 Romero (BEL)</br>55 Pablo Bartolucci (BEL) -en contra-</br>57 Lascano (BEL)</br>60 Infante (BEL)</br>89 Adán Loizo (HUR),45,90,0,0
14/07/1929,Laguna,local,derrota,1,2,Independiente,Amistoso 1929,La Quema,Bartolomé Macías,"Armando Cereseto; Carlos Nobile y Nicolás Insúa; Pablo Bartolucci, Luis Genovesi y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Sangiovanni; Debuglio y Chiarella; Pérez, Gros y Martínez; Paolinetti, Lalín, Ravaschino, Fernández y Ríos.",foto,32 Paolinetti (IND)</br>49 Guillermo Stábile (HUR)</br>75 Lalín (IND),45,90,0,0
21/07/1929,Laguna,visitante,victoria,3,0,Atlanta,1° fecha del Campeonato Estímulo 1929,Humboldt 400,Valdatta,"Armando Cereseto; Nicolás Insúa y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Iribarne; Roberto Basílico y Somón; Cosmelli, Torres y Pascale; Perri, Ordoñez, Echeverría, Passadore y Páez.",foto,69 GOL Guillermo Stábile (HUR)</br>70 GOL Ángel Chiessa (HUR)</br>83 GOL Ángel Chiessa (HUR),45,90,0,0
15/08/1929,Laguna,visitante,empate,2,2,Argentinos Juniors,Amistoso 1929,-,desconocido,Huracán,Rival,foto,sin datos,45,90,0,0
24/08/1929,Laguna,local,victoria,2,1,Bologna (Italia),Gira del Bologna 1929 (amistoso),La Quema,Bartolomé Macías,"Armando Cereseto; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Horacio Souza.","Mario Gianni; Heraldo Monzeglio y Félix Gasperi; Pedro Genovesi, Gastón Baldi y Alfredo Pitto; Rafael Constantino, Federico Busini, Ángel Schiavio, Mario Magnozzi y José Muzioli.",foto,40 GOL Adán Loizo (HUR)</br><b>1° Tiempo: Huracán 1x0 Bologna</b></br>54 GOL Mario Magnozzi (BOL)</br>75 GOL Guillermo Stábile (HUR),45,90,0,0
25/08/1929,local,victoria,7,0,San Isidro,3° fecha del Campeonato Estímulo 1929,La Quema,Martínez,"Armando Cereseto; Nicolás Insúa y Juan C Cibeira; Pablo Bartolucci, Máximo Federici y Horacio Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y César Concheiro.","Ferraro; Cervetto y Flynn; Piazzi, Lavigna y Cortiñas; Capatto, Di Yorio, Mellone, Bencardini y Cositorto.",foto,1 GOL Adán Loizo (HUR)</br>15 GOL Guillermo Stábile (HUR)</br>20 GOL Juan Spósito (HUR)</br>41 GOL Ángel Chiessa (HUR)</br>51 GOL Guillermo Stábile (HUR)</br>59 GOL Ángel Chiessa (HUR)</br>71 GOL Guillermo Stábile (HUR),45,90,0,0
01/09/1929,local,victoria,3,1,Talleres,3° fecha del Campeonato Estímulo 1929,La Quema,Forte,"Armando Cereseto; Carlos Nobile y Juan F Pratto; Eusebio Morales, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y César Concheiro.","Bosio; Allan y Ravizza; Madero, Donadi y Serramía; Buffy Pera, Tubio, Novella, Zubizarreta y D'Abatte.",foto,7 GOL Juan F Pratto (HUR)</br>20 GOL Tubio (TAL)</br>28 GOL Adán Loizo (HUR)</br>50 GOL Guillermo Stábile (HUR),45,90,0,0
08/09/1929,visitante,victoria,3,1,Tigre,5° fecha del Campeonato Estímulo 1929,Tigre,Fernández,"Armando Cereseto; Carlos Nobile y Luis Caviglia; Horacio Souza, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y César Concheiro.","Spadazzi; Carmona y Cuello; Simone, Manuel Dañil y Giulidori; Cinat, Bernabé Ferreyra, Bellomo, Haedo y Santillán.",foto,13 GOL Guillermo Stábile (HUR)</br>32 GOL Santillán (TIG)</br>48 GOL Adán Loizo (HUR)</br>79 GOL César Concheiro (HUR),45,90,0,0
15/09/1929,visitante,victoria,3,0,Platense,5° fecha del Campeonato Estímulo 1929,Saavedra,Larroque,"Armando Cereseto; Luis Caviglia y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Aníbal Parmigiani y Eugenio Taboada.","D Mapelli; Tellería y Querido; Botta, Volante y Coronas; Quilindro, Montero, González, O Mapelli y García.",foto,6 GOL Guillermo Stábile (HUR)</br>29 GOL Guillermo Stábile (HUR)</br>60 GOL Juan Spósito (HUR),45,90,0,0
22/09/1929,visitante,empate,1,1,Lanús,6° fecha del Campeonato Estímulo 1929,Lanús,Garigliano,"Armando Cereseto; Délfor Ahumada y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y César Concheiro.","J Salvia; Piaggio y Chimento; Manfrín, Volante y Truffa; P Salvia, Villa, García, Raggi y Spadaro.",foto,27 GOL Raggi (LAN)</br>86 GOL Juan Spósito (HUR),45,90,0,0
05/10/1929,visitante,empate,1,1,Newell's Old Boys (Rosario),Amistoso 1929,-,Huracán,Rival,foto,sin datos,45,90,0,0
13/10/1929,local,victoria,3,2,Colegiales,7° fecha del Campeonato Estímulo 1929,La Quema,Massanet,"Armando Cereseto; Juan F Pratto y Hugo Settis; Pablo Bartolucci, Máximo Federici y Horacio Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y César Concheiro.","Sesana; Silva y S Rossi; Del Corro, Pausini y Filippelli; A Rossi, Lo-renzo, Giúdice, Toscano y Coviello.",foto,11 GOL Guillermo Stábile (HUR)</br>12 GOL Giúdice (COL)</br>39 GOL Toscano (COL)</br>75 GOL César Concheiro (HUR)</br>85 GOL Guillermo Stábile (HUR),45,90,0,0
26/10/1929,neutral,derrota,0,3,neutral,derrota,0,3,Peñarol (Uruguay),Copa Ricardo Aldao 1928,River Plate,Riestra,"Rafael Negro; Juan F Pratto y Hugo Settis; Bartolucci, Máximo Federici y Horacio Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y César Concheiro.","Capuccini; Nogués y Dagosto; Riolfo, Silva y Gestido; Arremón, Fernández, Sarni, Sacco y Campolo.",foto,38 GOL Fernández (PEÑ)</br>39 GOL Sarni (PEÑ)</br>83 GOL Sarni (PEÑ)</br>87 Partido suspendido,45,87,0,0
03/11/1929,visitante,victoria,5,4,Gimnasia y Esgrima (La Plata),Amistoso 1929,El Bosque (La Plata),desconocido,Huracán,Rival,foto,sin datos,45,90,0,0
10/11/1929,neutral,empate,2,2,Banfield,Amistoso 1929,Sportivo Barracas,Nai Foino,"Malatto Maneiro; Horacio Souza y Hugo Settis; Pablo Bartolucci, Juan Citarelli y Vicente García; Adán Loizo, Juan Spósito, Juan Gilardi, Ángel Chiessa y César Concheiro.","A Zurdo; Presta y Rodríguez; F Zurdo, Nobile y Gerardo Echeverría; Bertetti, Péndola, Da Silva, Castro y E García.",foto,27 GOL César Concheiro (HUR)</br>35 GOL Rodríguez (BAN) -penal-</br>63 GOL César Concheiro (HUR)</br>70 GOL García (BAN),45,90,0,0
24/11/1929,visitante,derrota,1,2,Gimnasia y Esgrima (La Plata),8° fecha del Campeonato Estímulo 1929,El Bosque (La Plata),Liñeyro,"Malatto Maneiro; Juan F Pratto y Hugo Settis; Pablo Bartolucci, Máximo Federici y Horacio Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y César Concheiro.","Scarpone; Di Giano y Maldini; García, Santillán y Díaz; Curell, Francisco Varallo, Maleanni, José Minella y Morgada.",foto,30 GOL Maleanni (GLP)</br>31 GOL Francisco Varallo (GLP)</br>49 GOL Juan Spósito (HUR),45,90,0,0
01/12/1929,local,derrota,2,4,Estudiantes (La Plata),9° fecha del Campeonato Estímulo 1929,La Quema,Riestra,"Armando Cereseto; Hugo Settis y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Horacio Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y César Concheiro.","Scandone; Viola y Nery; Croce, Pérez Escalá y Luna; Miguel Lauri, Alejandro Scopelli, Alberto Zozaya, Manuel Ferreira y Enrique Guaita.",foto,21 GOL Manuel Ferreira (ELP)</br>28 GOL Adán Loizo (HUR)</br>48 GOL Alejandro Scopelli (ELP)</br>70 GOL Alberto Zozaya (ELP)</br>88 GOL Ángel Chiessa (HUR)</br>90 GOL Alejandro Scopelli (ELP),45,90,0,0
10/12/1929,local,derrota,-,-,Racing Club,10° fecha del Campeonato Estímulo 1929,-,-,Huracán,Rival,foto,Pendiente del 8 de agosto - gana Racing por forfait,0,0,0,0
10/12/1929,visitante,derrota,-,-,Banfield,11° fecha del Campeonato Estímulo 1929,-,-,Huracán,Rival,foto,Pendiente del 20 de octubre - gana Banfield por forfait,0,0,0,0
10/12/1929,visitante,derrota,-,-,Estudiantes,12° fecha del Campeonato Estímulo 1929,-,-,Huracán,Rival,foto,Pendiente del 27 de octubre - gana Estudiantes por forfait,0,0,0,0
12/12/1929,visitante,derrota,2,4,Boca Juniors,Amistoso 1929 (Beneficio Antonio Barreiro),Boca Juniors,Barbera,"Armando Cereseto; Fasanelli y Alejandro Laurenzano; Pablo Bartolucci, Juan Gil y Juan L Evaristo; Adán Loizo, Juan Spósito (Oscar Fazzini), Guillermo Stábile, Ángel Chiessa y José Sosa.","Merello; Bidoglio y Ramón Mutis; Segundo Medici, Manuel Fleitas Solich y Amoia; Penella, Kuko, Mario Evaristo, Sarco y Alberino.",foto,5 GOL Guillermo Stábile (HUR)</br>14 GOL Manuel Fleitas Solich (BJU)</br>45 GOL Mario Evaristo (BJU)</br>52 GOL Penella (BJU)</br>54 GOL Ángel Chiessa (HUR)</br>80 GOL Kuko (BJU),45,90,0,0
15/12/1929,visitante,derrota,-,-,Almagro,13° fecha del Campeonato Estímulo 1929,-,-,Huracán,Rival,foto,Gana Almagro por forfait,0,0,0,0
22/12/1929,visitante,derrota,-,-,River Plate,14° fecha del Campeonato Estímulo 1929,-,-,Huracán,Rival,foto,Gana River Plate por forfait,0,0,0,0
29/12/1929,visitante,derrota,-,-,Argentino del Sud,15° fecha del Campeonato Estímulo 1929,-,-,Huracán,Rival,foto,Gana Argentino del Sud por forfait,0,0,0,0
05/01/1930,visitante,derrota,-,-,El Porvenir,16° fecha del Campeonato Estímulo 1929,-,-,Huracán,Rival,foto,Gana El Porvenir por forfait,0,0,0,0
12/01/1930,visitante,derrota,-,-,San Fernando,17° fecha del Campeonato Estímulo 1929,-,-,Huracán,Rival,foto,Gana San Fernando por forfait,0,0,0,0
08/02/1930,Laguna,neutral,empate,0,0,Racing Club,Amistoso 1930,Boca Juniors,desconocido,"Armando Cereseto; Arturo Marullo y Juan F Pratto; Luis Genovese, Máximo Federici y Eduardo Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Cesáreo Onzari y César Concheiro.","Arzeni; Della Torre y Paternoster; Pompei, Stagnaro y De Mare; García, Ochoa, Barañano, Tabar y Mellone.",foto,-Partido Nocturno-,45,90,0,0
16/03/1930,Laguna,local,victoria,3,2,Argentinos Juniors,Amistoso 1930,La Quema,Destaillats,"Armando Cereseto; Arturo Marullo y Juan F Pratto; Gontade, Máximo Federici y Hugo Settis; Alberto Vesperoni, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Schiavo.","Ferrovía; Rissi y Basile; Méndez, Vichera y Lobianco; P Ruffo, Bottini, E Ruffo, Meraldi y Solano.",foto,3 GOL P Ruffo (AJU)</br>22 GOL Ángel Chiessa (HUR)</br>47 GOL Bottini (AJU)</br>50 GOL Juan Spósito (HUR)</br>56 GOL Guillermo Stábile (HUR) -penal- (HUR)</br>60 LES E Ruffo (AJU)</br>80 Partido suspendido,45,80,0,0
29/05/1930,Laguna,local,derrota,1,2,Boca Juniors,7° fecha del Campeonato 1930,La Quema,Di Tomasso,"Armando Cereseto; Arturo Marullo y Juan F Pratto; Pablo Bartolucci, Máximo Federici y Hugo Settis; Alberto Vesperoni, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Mena; Bidoglio y Ramón Mutis; Moreyras, Manuel Fleitas Solich y Pedro Arico; Penella, Domingo Tarasconi, Mario Evaristo, Roberto Cherro y Alberino.",foto,16 GOL Manuel Fleitas Solich (BJU)</br>27 GOL Mario Evaristo (BJU)</br>62 GOL Cesáreo Onzari (HUR),45,90,0,0
29/06/1930,Laguna,visitante,victoria,2,1,Tigre,13° fecha del Campeonato,Tigre,Roldán,"Armando Cereseto; Hugo Settis y Juan F Pratto; Guerra, Gontade y Eduardo Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Spadazzi; Carmona y Cuello; Simone, Dañil y Giulidori; Pérez, G Haedo, Bernabé Ferreyra, J Haedo y Corna.",foto,10 GOL Guillermo Stábile (HUR)</br>12 GOL Ángel Chiessa (HUR)</br>14 J Haedo (TIG),45,90,0,0
13/07/1930,Casanovas,visitante,derrota,2,4,Corinthians (Brasil),Gira por Brasil 1930 (amistoso),Parque Sao Jorge (Río de Janeiro),Feitico,"Américo Molteni; Roberto Basílico y Juan F Pratto; Hugo Settis, Manuel Dañil y Gerardo Echeverría; Alfredo Carricaberry, Juan Spósito, Bernabé Ferreyra, Ángel Chiessa y Cesáreo Onzari.","Tuffy; Grané y Del Debbio; Nerino, Guimaraes y Munhoz; Filó, Apparício, Gambinha, Rato y De Maria.",foto,9 GOL Ángel Chiessa (HUR)</br>30 GOL De María (COR)</br>32 GOL De María (COR)</br>63 GOL Ángel Chiessa (HUR)</br>71 GOL De Maria (COR)</br>90 GOL Grané (COR),45,90,0,0
17/07/1930,Casanovas,visitante,victoria,6,3,Portuguesa SP - Guarani (Brasil),Gira por Brasil 1930 (amistoso),Floresta (San Pablo),William Rowland,"Armando Cereseto, Roberto Basílico y Juan F Pratto; Vicente Amadeo, Manuel Dañil y Eduardo Souza; Alfredo Cariicaberry, Juan Spósito, Bernabé Ferreyra, Ángel Chiessa y Cesáreo Onzari.","Espíndola, Raposo y Machado; Cabral, Amleto y Ramón; Paulo, Salles, Lolico, Zeca y Robertinho.",foto,21 GOL Cesáreo Onzari (HUR)</br>27 GOL Bernabé Ferreyra (HUR)</br>33 GOL Salles (PGU)</br>39 GOL Alfredo Carricaberry (HUR)</br>51 GOL Machado (PGU) -penal-</br>58 GOL Cesáreo Onzari (HUR)</br>84 GOL Machado (PGU) -penal-</br>64 GOL Ángel Chiessa (HUR)</br>71 GOL Juan Spósito (HUR),45,90,0,0
20/07/1930,Casanovas,visitante,derrota,1,2,Paléstra Italia (Brasil),Gira por Brasil 1930 (amistoso),Parque Antarctica (Brasil),Thomaz,"Américo Molteni, Roberto Basílico y Juan F Pratto; Gerardo Echeverría, Manuel Dañil y Eduardo Souza; Alfredo Carricaberry, Juan Spósito, Bernabé Ferreyra, Ángel Chiessa y Cesáreo Onzari.","Nascimento; Volponi y Loschiavo; Pepe, Gogliardo y Serafini; Ministrinho, Carrone, Heitor, Lara y Osses.",foto,20 GOL Juan Spósito (PAL)</br>53 GOL Ministrinho (PAL)</br>85 GOL Osses (PAL),45,90,0,0
24/07/1930,Casanovas,visitante,derrota,1,4,Santos (Brasil),Gira por Brasil 1930 (amistoso),Vila Belmiro (Santos),Parinello,"Américo Molteni, Juan B Scursoni y Juan F Pratto; Vicente Amadeo, Máximo Federici y Gerardo Echeverría; Alfredo Carricaberry, Juan Spósito, Bernabé Ferreyra, Ángel Chiessa y Salvador D'Alessandro.","Athiê; Aristides y Meira; Osvaldo, Roberto y Alfredo; Omar, Camarao, Feitico, Mário Seixas y Evangelista.",foto,8 GOL Omar (SAN)</br>15 GOL Camarao (SAN)</br>23 GOL Ángel Chiessa (HUR)</br>69 GOL Feitico (SAN)</br>88 GOL Mário Seixas (SAN),45,90,0,0
27/07/1930,Casanovas,visitante,empate,2,2,Liga de Río de Janeiro (Brasil),Gira por Brasil 1930 (amistoso),São Januario (Río de Janeiro),Juan B. Scursoni,"Armando Cereseto, Roberto Basílico y Juan F Pratto; Hugo Settis, Manuel Dañil (46 Bernabé Ferreyra) y Gerardo Echeverría; Alfredo Carricaberry, Juan Spósito, Máximo Federici, Ángel Chiessa y Cesáreo Onzari.","Jaguaré, Hélcio y Pennaforte; Tinoco, Nesi e y Molla; Ary, Sobral, Gradim, Telê e Celso.",foto,11 GOL Sobral (RDJ)</br>53 GOL Ángel Chiessa (HUR)</br>61 GOL Hugo Settis (HUR)</br>85 GOL Gradim (RDJ),45,90,0,0
31/07/1930,Casanovas,visitante,derrota,1,5,Vasco da Gama (Brasil),Gira por Brasil 1930 (amistoso),Sao Januario (Río de Janeiro),Fedrighi,"Armando Cereseto; Hugo Settis y Juan F Pratto; Gerardo Echeverría, Máximo Federici y Eduardo Souza; Alfredo Carricaberry, Juan Spósito, Bernabé Ferreyra, Ángel Chiessa y Salvador D'Alessandro.","Jaguaré; Brilhante e Itália; Tinoco, Fausto y Mola; Bahianinho, Paes, Russinho, Mattos y Sant'Anna.",foto,7 GOL Ángel Chiessa (HUR)</br>29 GOL Russinho (VDG)</br>38 GOL Paes (VDG)</br>48 GOL Mattos (VDG)</br>59 GOL Russinho (VDG)</br>61 GOL Fausto (VDG),45,90,0,0
03/08/1930,Casanovas,visitante,empate,4,4,Liga de Río de Janeiro (Brasil),Gira por Brasil 1930 (amistoso),São Januario (Río de Janeiro),Ribeiro,"Américo Molteni, Hugo Settis y Juan F Pratto; Vicente Amadeo, Manuel Dañil y Eduardo Souza; Alfredo Carricaberry, Juan Spósito, Bernabé Ferreyra, Ángel Chiessa y Cesáreo Onzari.","Jaguaré, Pennaforte y Octávio; Tinoco, Fausto y Ernesto; Sobral, Paes, Alfredinho, Arthur y Teophilo.",foto,13 GOL Paes (VDG)</br>26 GOL Cesáreo Onzari (HUR)</br>28 GOL Cesáreo Onzari (HUR)</br>27 GOL Alfredo (VDG)</br>30 GOL Ángel Chiessa (HUR)</br>53 GOL Octávio (VDG) -penal-</br>65 GOL Arthur (VDG)</br>74 GOL Bernabé Ferreyra (HUR)</br><b>77 Huracán abandona a los 77 min.</b>,45,90,0,0
17/08/1930,Laguna,local,victoria,1,0,Argentinos Juniors,14° fecha del Campeonato 1930,La Quema,Bartolomé Macías,"Malatto Maneiro; Hugo Settis y Juan F Pratto; Gontade, Máximo Federici y Eduardo Souza; Adán Loizo, Juan Spósito, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Fossatti; Pascual Di Paola y Giachetti; Méndez, Vaccaro y Lobianco; E Ruffo, Garabelli, P Ruffo, Meraldi y Cappellini.",foto,22 GOL Ángel Chiessa (HUR)</br>82 EXP Máximo Federici (HUR)</br>82 EXP E Ruffo (AJU),45,90,0,0
